end_date,status,ip_address,progress,duration_in_seconds,subject,recorded_date,response_id,location_latitude,location_longitude,distribution_channel,user_language,consent_form,age,gender,stage1_simple,stage2_simple,stage3_simple,stage4_simple,stage5_simple,stage6_simple,stage7_simple,stage1_complex,stage2_complex,stage3_complex,stage4_complex,stage5_complex,stage6_complex,stage7_complex,thinking1,thinking2,thinking3,openminded1,openminded2,openminded3,openminded4,openminded5,openminded6,openminded7,openminded8,group,numeracy_total,reasoning_total
9/10/20 2:33,IP Address,1.157.192.104,100,1519,subj65,9/10/20 2:33,R_3hsdpWvdp8VeX5A,-33.85910034,151.2001953,anonymous,EN,I consent,20,Female,NA,NA,NA,NA,NA,NA,NA,80,81,100,77,40,45,35,8,50,20,6,6,6,6,6,6,5,5,Complex,10,6
9/10/20 3:47,IP Address,60.227.173.219,100,871,subj66,9/10/20 3:47,R_2Y4mveKN4cV58kp,-33.70640564,150.9595947,anonymous,EN,I consent,18,Female,76,73,84,95,100,57,43,NA,NA,NA,NA,NA,NA,NA,8,50,20,6,6,4,5,6,6,5,4,Simple,10,7
9/10/20 19:55,IP Address,121.223.182.215,100,1124,subj67,9/10/20 19:55,R_1meoocgDE4u9S4y,-33.85910034,151.2001953,anonymous,EN,I consent,21,Female,56,92,100,100,86,76,67,NA,NA,NA,NA,NA,NA,NA,8,50,20,6,5,3,2,5,5,5,3,Simple,7,10
10/10/20 20:09,IP Address,139.130.102.222,100,509,subj68,10/10/20 20:10,R_1l4f55Qhi2jSW27,-33.85910034,151.2001953,anonymous,EN,I consent,24,Female,NA,NA,NA,NA,NA,NA,NA,83,87,84,81,78,83,85,8,50,40,4,4,3,3,3,4,4,3,Complex,2,5
10/10/20 21:39,IP Address,49.195.107.66,100,1431,subj69,10/10/20 21:39,R_2DP1BurJpqMXvoG,-33.84440613,151.1542053,anonymous,EN,I consent,18,Female,50,65,76,80,77,56,76,NA,NA,NA,NA,NA,NA,NA,8,50,20,6,6,5,5,6,6,6,5,Simple,7,9
10/10/20 22:23,IP Address,1.121.132.6,100,997,subj70,10/10/20 22:23,R_2OIwdmWXgjl9Qpo,-34.92810059,138.5999146,anonymous,EN,I consent,19,Male,NA,NA,NA,NA,NA,NA,NA,5,30,100,90,51,30,20,8,10,20,6,6,3,2,6,6,6,6,Complex,10,9
11/10/20 0:06,IP Address,60.227.65.97,100,1105,subj71,11/10/20 0:06,R_3CE0fQyvvs8Ss5G,-33.85910034,151.2001953,anonymous,EN,I consent,19,Male,65,65,75,85,60,35,30,NA,NA,NA,NA,NA,NA,NA,8,10,39,6,6,6,6,6,6,6,6,Simple,11,10
11/10/20 2:27,IP Address,203.221.121.73,100,1082,subj72,11/10/20 2:27,R_DzNVSJNnM8pbiqB,-33.85910034,151.2001953,anonymous,EN,I consent,19,Male,NA,NA,NA,NA,NA,NA,NA,80,90,100,73,100,91,23,8,50,20,6,6,4,3,5,4,5,2,Complex,11,6
11/10/20 6:09,IP Address,101.173.198.147,100,1851,subj73,11/10/20 6:09,R_2f0xuo2F02UO2Gt,-33.85910034,151.2001953,anonymous,EN,I consent,20,Female,71,55,79,87,51,9,33,NA,NA,NA,NA,NA,NA,NA,4,50,39,6,6,4,5,6,5,5,5,Simple,10,11
11/10/20 20:14,IP Address,103.120.9.2,100,1228,subj74,11/10/20 20:14,R_1oApqGrIZ1mZD7v,-33.94299316,151.1809998,anonymous,EN,I consent,23,Male,65,92,91,100,62,24,10,NA,NA,NA,NA,NA,NA,NA,8,50,20,6,5,3,2,3,5,6,2,Simple,9,9
11/10/20 21:36,IP Address,220.233.87.63,100,824,subj75,11/10/20 21:36,R_bIyf5QTTzjYujD3,-33.8374939,151.2099915,anonymous,EN,I consent,19,Male,NA,NA,NA,NA,NA,NA,NA,19,80,28,72,74,71,72,8,10,10,6,4,3,2,4,6,4,2,Complex,10,11
11/10/20 22:53,IP Address,58.164.69.147,100,898,subj76,11/10/20 22:53,R_1I5aeAPzX6afYVI,-33.81199646,151.2576904,anonymous,EN,I consent,19,Female,NA,NA,NA,NA,NA,NA,NA,67,71,72,77,78,81,69,8,50,20,5,4,3,5,5,5,4,5,Complex,10,10
12/10/20 0:18,IP Address,27.33.237.102,100,1055,subj77,12/10/20 0:18,R_1IbBl1dghn57Kyd,-33.70640564,150.9595947,anonymous,EN,I consent,18,Male,80,66,100,79,68,90,35,NA,NA,NA,NA,NA,NA,NA,8,10,39,5,5,6,4,5,5,5,5,Simple,11,8
