aote,global_warming,evolution,big_bang,stem_cell,vaccines,old_earth,modern_medicine,tech_problems,gm_health,trust_scien
50,83.33333333,83.33333333,83.33333333,66.66666667,50,100,66.66666667,33.33333333,66.66666667,4
95,83.33333333,83.33333333,83.33333333,83.33333333,100,100,100,100,50,4
75,16.66666667,33.33333333,50,83.33333333,83.33333333,83.33333333,100,100,83.33333333,4
85,100,100,100,50,16.66666667,100,50,0,0,4
80,100,100,100,100,100,100,100,100,100,4
87.5,100,100,0,100,66.66666667,100,83.33333333,33.33333333,0,4
80,100,100,100,83.33333333,100,100,100,100,50,4
27.5,0,0,0,100,50,50,66.66666667,33.33333333,33.33333333,3
75,0,100,100,100,100,100,100,100,100,3
52.5,83.33333333,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,50,33.33333333,4
50,0,0,0,0,0,100,0,33.33333333,0,1
97.5,100,83.33333333,83.33333333,100,100,100,100,100,50,4
60,33.33333333,33.33333333,83.33333333,33.33333333,50,66.66666667,100,66.66666667,16.66666667,4
87.5,100,100,83.33333333,100,100,100,100,100,83.33333333,4
62.5,83.33333333,66.66666667,66.66666667,50,50,50,83.33333333,83.33333333,66.66666667,4
92.5,83.33333333,83.33333333,100,100,100,100,100,83.33333333,100,4
54.28571429,33.33333333,66.66666667,66.66666667,83.33333333,50,50,33.33333333,33.33333333,83.33333333,5
100,100,100,100,100,100,100,100,100,50,4
77.5,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,4
48.57142857,66.66666667,66.66666667,83.33333333,66.66666667,50,83.33333333,66.66666667,16.66666667,50,4
95,100,100,100,83.33333333,100,100,100,83.33333333,50,4
72.5,0,16.66666667,16.66666667,66.66666667,100,100,100,83.33333333,100,3
80,83.33333333,83.33333333,83.33333333,50,50,50,50,83.33333333,0,4
65,83.33333333,100,83.33333333,66.66666667,83.33333333,100,83.33333333,50,33.33333333,4
35,0,50,50,100,83.33333333,83.33333333,100,66.66666667,66.66666667,3
70,83.33333333,100,100,66.66666667,100,100,100,33.33333333,83.33333333,5
50,83.33333333,66.66666667,83.33333333,83.33333333,33.33333333,50,66.66666667,50,0,4
92.5,100,100,100,100,100,100,100,100,100,3
45,66.66666667,16.66666667,16.66666667,33.33333333,50,50,83.33333333,66.66666667,50,2
57.5,16.66666667,33.33333333,83.33333333,83.33333333,83.33333333,100,100,83.33333333,83.33333333,3
42.5,83.33333333,83.33333333,0,100,50,100,83.33333333,16.66666667,16.66666667,3
90,100,100,83.33333333,66.66666667,83.33333333,100,100,83.33333333,50,4
70,50,100,83.33333333,66.66666667,50,100,16.66666667,66.66666667,50,4
90,66.66666667,66.66666667,100,100,50,100,83.33333333,50,50,3
70,50,83.33333333,66.66666667,83.33333333,50,83.33333333,50,50,50,4
65,100,83.33333333,100,83.33333333,100,100,100,66.66666667,33.33333333,4
70,66.66666667,50,16.66666667,66.66666667,33.33333333,50,83.33333333,83.33333333,33.33333333,3
95,100,83.33333333,83.33333333,100,100,50,83.33333333,83.33333333,33.33333333,4
75,100,83.33333333,16.66666667,50,50,83.33333333,83.33333333,100,50,3
90,100,100,100,100,100,100,83.33333333,66.66666667,83.33333333,4
40,66.66666667,33.33333333,33.33333333,66.66666667,100,66.66666667,66.66666667,66.66666667,33.33333333,4
77.5,66.66666667,100,83.33333333,100,100,100,100,100,33.33333333,5
100,50,100,100,50,83.33333333,100,100,100,50,4
52.5,100,16.66666667,50,50,0,100,0,0,0,1
72.5,100,100,100,100,100,100,100,100,16.66666667,5
65,100,83.33333333,83.33333333,33.33333333,33.33333333,100,50,33.33333333,33.33333333,4
50,83.33333333,100,83.33333333,100,83.33333333,50,66.66666667,100,50,3
57.5,16.66666667,33.33333333,50,50,16.66666667,83.33333333,66.66666667,83.33333333,0,2
45,66.66666667,50,33.33333333,50,50,33.33333333,50,50,66.66666667,4
52.5,66.66666667,50,16.66666667,50,50,50,50,50,50,4
75,100,66.66666667,0,83.33333333,83.33333333,100,66.66666667,50,16.66666667,3
90,100,100,100,83.33333333,100,100,83.33333333,100,50,4
90,100,100,83.33333333,100,100,100,83.33333333,83.33333333,66.66666667,4
80,100,100,83.33333333,100,100,100,100,100,50,4
87.5,100,83.33333333,83.33333333,100,50,100,100,83.33333333,50,4
82.5,100,100,100,100,50,100,100,100,16.66666667,5
95,100,100,66.66666667,100,16.66666667,100,100,83.33333333,16.66666667,4
67.5,100,83.33333333,66.66666667,100,100,100,83.33333333,83.33333333,16.66666667,4
57.5,66.66666667,100,83.33333333,83.33333333,100,100,83.33333333,100,100,4
